context_id,Average Memory Usage Percentage,InnoDB Buffer Pool Cache Hit Rate,InnoDB Dirty Buffer Pages,Current QPS (Queries Per Second),Max CPU Usage (100 - Idle),InnoDB Rows Deleted (60s Rate),InnoDB Rows Inserted (60s Rate),InnoDB Rows Read (60s Rate),InnoDB Rows Updated (60s Rate),Average Disk IOPS (Read),Average Disk IOPS (Write)
24c32g_10-4-4-tpcc-nan,7.356446468955607,96.23623014315685,23301.454545454544,3832.8,27.23856001351273,59.55636363636364,758.1945454545454,6618.761818181819,1532.730909090909,1412.1755649933732,4140.420381322575
24c32g_100-4-4-tpcc-nan,7.377079445448026,89.78642047295816,14585.636363636364,2041.5290909090909,30.73272727345201,31.572727272727278,405.0290909090909,3417.5690909090918,814.7581818181818,2578.9654545454546,3572.976363636364
24c32g_64-1000000-4-oltp_read_write_20-0.2,7.613600337059736,95.2180175631589,23306.90909090909,1749.669090909091,27.74000000005418,437.0636363636364,437.0709090909091,23056.014545454545,437.0436363636364,1593.3436363636365,4786.454545454545
24c32g_64-1000000-4-oltp_read_write_20-0.6,7.596696131944994,95.75437755701444,26343.090909090908,1882.169090909091,27.08545454540713,470.19272727272727,470.1963636363636,24801.536363636365,470.18545454545455,1501.7109090909091,4694.067272727273
24c32g_64-1000000-4-oltp_read_write_20-1.0,7.606361354616058,98.01629363180778,35079.27272727273,4015.314545454545,28.43818181820891,1003.36,1003.3690909090908,52941.28727272728,1003.5054545454544,1182.9036363636365,4798.538181818181
24c32g_64-1000000-4-oltp_read_write_5-0.2,7.591500357263322,94.82804805032193,29345.454545454544,1498.6527272727274,25.319999999790028,367.01272727272726,367.02181818181816,6973.029090909092,660.3927272727273,1332.698181818182,5119.643636363637
24c32g_64-1000000-4-oltp_read_write_5-0.6,7.603107234420275,95.77308312999062,31768.0,1702.3363636363638,27.194545454345644,416.8472727272727,416.8636363636364,7919.041818181818,750.4854545454546,1260.0218181818182,5022.527272727273
24c32g_64-1000000-4-oltp_read_write_5-1.0,7.611499729619922,97.9213645785434,41393.90909090909,3842.1981818181816,28.84363636349073,937.6163636363636,937.6127272727272,18017.776363636363,1699.4563636363637,1039.509090909091,4792.87090909091
24c32g_64-1000000-4-oltp_read_write_50-0.2,7.481403359865855,92.8297677271218,15866.545454545454,1864.6763636363637,25.61090909092772,248.42363636363635,248.43090909090907,26333.88181818182,372.64,1986.023636363636,3849.634545454546
24c32g_64-1000000-4-oltp_read_write_50-0.6,7.481111946116981,93.97934883290986,17716.454545454544,2316.3290909090906,26.583636363671925,308.61636363636364,308.62,32718.507272727275,462.96,2018.6181818181817,4105.896363636363
24c32g_64-1000000-4-oltp_read_write_50-1.0,7.503828972449845,97.305268801272,22897.90909090909,4528.285454545455,26.48909090925008,603.5272727272727,603.5400000000001,63979.62,905.2836363636364,1346.5527272727272,4187.292727272728
24c32g_64-1000000-4-oltp_read_write_80-0.2,7.580328393049768,91.2396530856242,10507.181818181818,3009.8981818181824,25.885454545474865,136.75272727272727,136.75636363636366,57295.09818181819,273.50545454545454,3304.970909090909,2870.6163636363635
24c32g_64-1000000-4-oltp_read_write_80-0.6,7.581891430430105,92.23426579189122,11403.454545454546,3319.610909090909,26.929090909151867,150.83272727272728,150.83272727272728,63198.62545454546,301.6636363636364,3109.4218181818183,3118.676363636364
24c32g_64-1000000-4-oltp_read_write_80-1.0,7.583904834513251,96.8001103379595,12378.181818181818,5666.092727272728,26.518181818114087,257.4836363636364,257.48727272727274,107883.5890909091,514.9636363636364,1768.509090909091,3794.076363636363
24c32g_64-1000000-4-oltp_read_write_95-0.2,7.605307187456299,84.42977049647415,7087.818181818182,4989.341818181819,32.21272727262906,60.09636363636364,60.09818181818182,28845.62909090909,120.19818181818182,4962.409090909091,1406.7018181818182
24c32g_64-1000000-4-oltp_read_write_95-0.6,7.512688391951667,86.1472392445339,7889.0,5617.321818181818,31.09090909090909,67.67090909090909,67.67272727272727,32478.294545454544,135.34,4677.4345454545455,1530.729090909091
24c32g_64-1000000-4-oltp_read_write_95-1.0,7.557275799369714,93.92089024421637,8800.181818181818,10995.96181818182,30.845454545606945,132.4690909090909,132.4709090909091,63584.98363636364,264.93636363636364,2900.4872727272727,2203.398181818182
24c32g_64-1000000-4-oltp_write_only-0.2,7.388131091106169,96.36559696216916,31039.272727272728,1391.5581818181818,22.410909090868447,231.68727272727276,231.69272727272727,695.0872727272728,463.3836363636364,882.6327272727272,4387.316363636364
24c32g_64-1000000-4-oltp_write_only-0.6,7.612070414878136,97.22919915823212,33978.90909090909,1675.810909090909,24.838181818158112,279.07272727272726,279.0690909090909,837.2127272727273,558.1309090909091,841.7290909090909,4610.307272727273
24c32g_64-1000000-4-oltp_write_only-1.0,7.409800573319019,98.46681810948613,25210.81818181818,2681.2018181818185,20.301818181845277,446.6127272727272,446.6236363636363,1339.8981818181817,893.1854545454546,544.7363636363636,4464.630909090909
32c64g_10-4-4-tpcc-nan,4.419747865670789,96.44791063944582,23614.0,3887.0690909090913,25.8000000004064,59.845454545454544,772.4418181818182,6608.580000000001,1548.1236363636365,1336.3363636363638,3995.687272727273
32c64g_100-4-4-tpcc-nan,4.462190819498857,90.01379516754129,14089.09090909091,1966.163636363636,24.627272727137264,30.474545454545456,389.04545454545456,3342.112727272727,783.8909090909092,2533.754545454545,3439.4890909090905
32c64g_64-1000000-4-oltp_read_write_20-0.2,4.542794454089832,95.39541217544004,23362.90909090909,1614.88,23.238181817260656,403.3145454545455,403.3218181818182,21280.890909090907,403.35636363636365,1454.670909090909,4407.038181818182
32c64g_64-1000000-4-oltp_read_write_20-0.6,4.541003053978911,95.89041850413928,26224.545454545456,1821.689090909091,23.96545454656536,455.0781818181818,455.0690909090909,24003.785454545457,455.07272727272726,1436.4127272727274,4565.649090909091
32c64g_64-1000000-4-oltp_read_write_20-1.0,4.544205526177206,98.09662424853978,35226.0,3842.0890909090913,25.39454545419324,960.1163636363636,960.1218181818182,50651.11272727272,960.1272727272728,1106.730909090909,4580.88
32c64g_64-1000000-4-oltp_read_write_5-0.2,4.542952097299594,95.47929724669189,29155.81818181818,1460.609090909091,24.396363638341427,357.5890909090909,357.59090909090907,6797.845454545455,643.86,1233.421818181818,4915.367272727272
32c64g_64-1000000-4-oltp_read_write_5-0.6,4.544925944621813,95.9166008540797,31851.727272727272,1632.5800000000002,24.345454546538267,399.7818181818182,399.7890909090909,7599.018181818182,719.6036363636364,1192.7727272727273,4953.854545454546
32c64g_64-1000000-4-oltp_read_write_5-1.0,4.548859308065366,98.08743517952148,42914.09090909091,3801.3363636363633,25.55818181891333,927.5872727272726,927.5945454545456,17831.392727272727,1681.3945454545456,1010.730909090909,4774.189090909091
32c64g_64-1000000-4-oltp_read_write_50-0.2,4.580643706833459,92.93663988470334,15910.363636363636,1868.2745454545452,23.241818182170388,248.9181818181818,248.91636363636363,26386.112727272728,373.3763636363637,1964.8236363636363,3854.456363636364
32c64g_64-1000000-4-oltp_read_write_50-0.6,4.491876248536977,94.18897312113286,17949.090909090908,2251.9418181818182,23.930909091098737,300.0527272727273,300.05454545454546,31810.481818181812,450.07272727272726,1945.7127272727275,3985.84
32c64g_64-1000000-4-oltp_read_write_50-1.0,4.4975100640858265,97.48213827203682,23668.090909090908,4570.632727272728,24.24909091063521,609.2272727272727,609.2272727272727,64579.34,913.8563636363637,1329.7727272727273,4197.045454545455
32c64g_64-1000000-4-oltp_read_write_80-0.2,4.527433060338655,91.37774121420138,10410.181818181818,2905.5636363636363,23.5,132.00727272727272,132.00545454545454,55308.94545454546,264.01818181818186,3173.389090909091,2763.449090909091
32c64g_64-1000000-4-oltp_read_write_80-0.6,4.534495586375967,92.39780162193928,11344.545454545454,3169.509090909091,23.49454545500604,144.0127272727273,144.0109090909091,60335.96363636363,288.0236363636364,2954.649090909091,2950.2745454545457
32c64g_64-1000000-4-oltp_read_write_80-1.0,4.538963062652593,96.85343790597996,12314.272727272728,5416.574545454546,23.45636363598433,246.14545454545453,246.1472727272727,103133.16545454548,492.2763636363636,1676.4836363636364,3598.5345454545454
32c64g_64-1000000-4-oltp_read_write_95-0.2,4.531773209407397,84.04473756681988,7446.181818181818,4787.26,28.107272725213654,57.66181818181818,57.66181818181818,27678.496363636365,115.33272727272728,4785.734545454546,1431.7054545454546
32c64g_64-1000000-4-oltp_read_write_95-0.6,4.488415814722706,86.32992164178265,7568.545454545455,5484.92,28.350909090854906,66.06545454545454,66.06363636363636,31709.583636363637,132.12545454545457,4531.503636363636,1455.9927272727273
32c64g_64-1000000-4-oltp_read_write_95-1.0,4.516397484455333,94.0017442165794,8662.09090909091,10784.04,27.650909089906648,129.91454545454545,129.91454545454545,62357.85272727273,259.8290909090909,2816.454545454545,2097.5581818181818
32c64g_64-1000000-4-oltp_write_only-0.2,4.437574777174627,96.6096800409765,31539.0,1402.3272727272729,19.71272727305239,233.47818181818184,233.48,700.4727272727273,466.9727272727272,851.2272727272727,4538.692727272727
32c64g_64-1000000-4-oltp_write_only-0.6,4.438243382816034,97.32061038216148,33947.0,1674.721818181818,20.19454545392232,278.8818181818182,278.8781818181818,836.6454545454545,557.7509090909091,821.3490909090909,4615.685454545454
32c64g_64-1000000-4-oltp_write_only-1.0,4.434091192958928,98.60780420703932,26078.454545454544,2689.1254545454544,16.763636363500897,447.92545454545456,447.9381818181818,1343.8727272727274,895.8163636363636,521.4563636363637,4437.494545454546
4c6g_10-4-4-tpcc-nan,35.0341552116535,96.42180693172884,22743.90909090909,3919.538181818182,67.7363636364991,59.82727272727273,777.6890909090909,6635.84,1555.190909090909,1363.7818181818182,4232.552727272728
4c6g_100-4-4-tpcc-nan,35.056828524396515,90.2752226752027,13793.363636363636,2127.0254545454545,65.8563636365262,31.96181818181818,423.22,3568.5654545454545,839.1890909090909,2576.8454545454547,3552.34
4c6g_64-1000000-4-oltp_read_write_20-0.2,36.25922245478225,95.26251469099526,23103.36363636364,1737.1900076724205,63.70181818306446,433.9384125725881,433.934776281676,22889.37074211577,433.90023082713054,1567.2036363636362,4791.48
4c6g_64-1000000-4-oltp_read_write_20-0.6,36.3177956754153,95.84807178608862,25813.545454545456,1927.92,65.27090909061107,481.6181818181818,481.6218181818182,25405.50181818182,481.630909090909,1513.138181818182,4855.730909090909
4c6g_64-1000000-4-oltp_read_write_20-1.0,36.2755324776008,98.12709165506396,33366.72727272727,3935.230909090909,69.587272727354,983.3581818181818,983.3654545454546,51883.10363636364,983.3636363636364,1119.7818181818182,4879.914545454545
